date,product_id,inventory_level,demand,actual_sales,stockout_flag,order_quantity,reorder_point
2025-07-29,PRD_008,265,13,13,0,0,231.9
2025-07-30,PRD_008,259,6,6,0,0,231.9
2025-07-31,PRD_008,248,11,11,0,0,231.9
2025-08-01,PRD_008,237,11,11,0,0,231.9
2025-08-02,PRD_008,283,7,7,0,53,231.9
2025-08-03,PRD_008,272,11,11,0,0,231.9
2025-08-04,PRD_008,264,8,8,0,0,231.9
2025-08-05,PRD_008,260,4,4,0,0,231.9
2025-08-06,PRD_008,249,11,11,0,0,231.9
2025-08-07,PRD_008,240,9,9,0,0,231.9
2025-08-08,PRD_008,234,6,6,0,0,231.9
2025-08-09,PRD_008,283,4,4,0,53,231.9
2025-08-10,PRD_008,277,6,6,0,0,231.9
2025-08-11,PRD_008,266,11,11,0,0,231.9
2025-08-12,PRD_008,258,8,8,0,0,231.9
2025-08-13,PRD_008,252,6,6,0,0,231.9
2025-08-14,PRD_008,245,7,7,0,0,231.9
2025-08-15,PRD_008,243,2,2,0,0,231.9
2025-08-16,PRD_008,237,6,6,0,0,231.9
2025-08-17,PRD_008,281,9,9,0,53,231.9
2025-08-18,PRD_008,278,3,3,0,0,231.9
2025-08-19,PRD_008,269,9,9,0,0,231.9
2025-08-20,PRD_008,258,11,11,0,0,231.9
2025-08-21,PRD_008,254,4,4,0,0,231.9
2025-08-22,PRD_008,243,11,11,0,0,231.9
2025-08-23,PRD_008,236,7,7,0,0,231.9
2025-08-24,PRD_008,282,7,7,0,53,231.9
2025-08-25,PRD_008,277,5,5,0,0,231.9
2025-08-26,PRD_008,270,7,7,0,0,231.9
2025-08-27,PRD_008,263,7,7,0,0,231.9
2025-08-28,PRD_008,253,10,10,0,0,231.9
2025-08-29,PRD_008,246,7,7,0,0,231.9
2025-08-30,PRD_008,239,7,7,0,0,231.9
2025-08-31,PRD_008,234,5,5,0,0,231.9
2025-09-01,PRD_008,279,8,8,0,53,231.9
2025-09-02,PRD_008,273,6,6,0,0,231.9
2025-09-03,PRD_008,263,10,10,0,0,231.9
2025-09-04,PRD_008,258,5,5,0,0,231.9
2025-09-05,PRD_008,252,6,6,0,0,231.9
2025-09-06,PRD_008,241,11,11,0,0,231.9
2025-09-07,PRD_008,235,6,6,0,0,231.9
2025-09-08,PRD_008,281,7,7,0,53,231.9
2025-09-09,PRD_008,274,7,7,0,0,231.9
2025-09-10,PRD_008,269,5,5,0,0,231.9
2025-09-11,PRD_008,264,5,5,0,0,231.9
2025-09-12,PRD_008,253,11,11,0,0,231.9
2025-09-13,PRD_008,247,6,6,0,0,231.9
2025-09-14,PRD_008,240,7,7,0,0,231.9
2025-09-15,PRD_008,235,5,5,0,0,231.9
2025-09-16,PRD_008,277,11,11,0,53,231.9
2025-09-17,PRD_008,267,10,10,0,0,231.9
2025-09-18,PRD_008,256,11,11,0,0,231.9
2025-09-19,PRD_008,254,2,2,0,0,231.9
2025-09-20,PRD_008,251,3,3,0,0,231.9
2025-09-21,PRD_008,243,8,8,0,0,231.9
2025-09-22,PRD_008,237,6,6,0,0,231.9
2025-09-23,PRD_008,281,9,9,0,53,231.9
2025-03-28,PRD_076,162,6,6,0,67,250.2
2025-03-29,PRD_076,220,9,9,0,67,250.2
2025-03-30,PRD_076,279,8,8,0,67,250.2
2025-03-31,PRD_076,271,8,8,0,0,250.2
2025-04-01,PRD_076,267,4,4,0,0,250.2
2025-04-02,PRD_076,265,2,2,0,0,250.2
2025-04-03,PRD_076,262,3,3,0,0,250.2
2025-04-04,PRD_076,260,2,2,0,0,250.2
2025-04-05,PRD_076,253,7,7,0,0,250.2
2025-04-06,PRD_076,316,4,4,0,67,250.2
2025-04-07,PRD_076,312,4,4,0,0,250.2
2025-04-08,PRD_076,302,10,10,0,0,250.2
2025-04-09,PRD_076,296,6,6,0,0,250.2
2025-04-10,PRD_076,293,3,3,0,0,250.2
2025-04-11,PRD_076,284,9,9,0,0,250.2
2025-04-12,PRD_076,279,5,5,0,0,250.2
2025-04-13,PRD_076,273,6,6,0,0,250.2
2025-04-14,PRD_076,265,8,8,0,0,250.2
2025-04-15,PRD_076,260,5,5,0,0,250.2
2025-04-16,PRD_076,255,5,5,0,0,250.2
2025-04-17,PRD_076,317,5,5,0,67,250.2
2025-04-18,PRD_076,314,3,3,0,0,250.2
2025-04-19,PRD_076,309,5,5,0,0,250.2
2025-04-20,PRD_076,301,8,8,0,0,250.2
2025-04-21,PRD_076,297,4,4,0,0,250.2
2025-04-22,PRD_076,288,9,9,0,0,250.2
2025-04-23,PRD_076,282,6,6,0,0,250.2
2025-04-24,PRD_076,280,2,2,0,0,250.2
2025-04-25,PRD_076,273,7,7,0,0,250.2
2025-04-26,PRD_076,263,10,10,0,0,250.2
2025-04-27,PRD_076,257,6,6,0,0,250.2
2025-04-28,PRD_076,251,6,6,0,0,250.2
2025-04-29,PRD_076,315,3,3,0,67,250.2
2025-04-30,PRD_076,310,5,5,0,0,250.2
2025-05-01,PRD_076,306,4,4,0,0,250.2
2025-05-02,PRD_076,300,6,6,0,0,250.2
2025-05-03,PRD_076,297,3,3,0,0,250.2
2025-05-04,PRD_076,293,4,4,0,0,250.2
2025-05-05,PRD_076,289,4,4,0,0,250.2
2025-05-06,PRD_076,286,3,3,0,0,250.2
2025-05-07,PRD_076,274,12,12,0,0,250.2
2025-05-08,PRD_076,272,2,2,0,0,250.2
2025-05-09,PRD_076,268,4,4,0,0,250.2
2025-05-10,PRD_076,262,6,6,0,0,250.2
2025-05-11,PRD_076,254,8,8,0,0,250.2
2025-05-12,PRD_076,314,7,7,0,67,250.2
2025-05-13,PRD_076,311,3,3,0,0,250.2
2025-05-14,PRD_076,306,5,5,0,0,250.2
2025-05-15,PRD_076,299,7,7,0,0,250.2
2025-05-16,PRD_076,292,7,7,0,0,250.2
2025-05-17,PRD_076,290,2,2,0,0,250.2
2025-05-18,PRD_076,286,4,4,0,0,250.2
2025-05-19,PRD_076,277,9,9,0,0,250.2
2025-05-20,PRD_076,270,7,7,0,0,250.2
2025-05-21,PRD_076,263,7,7,0,0,250.2
2025-05-22,PRD_076,259,4,4,0,0,250.2
2025-05-23,PRD_076,315,11,11,0,67,250.2
2025-05-24,PRD_076,309,6,6,0,0,250.2
2025-05-25,PRD_076,303,6,6,0,0,250.2
2025-05-26,PRD_076,295,8,8,0,0,250.2
2025-05-27,PRD_076,286,9,9,0,0,250.2
2025-05-28,PRD_076,281,5,5,0,0,250.2
2025-05-29,PRD_076,275,6,6,0,0,250.2
2025-05-30,PRD_076,267,8,8,0,0,250.2
2025-05-31,PRD_076,264,3,3,0,0,250.2
2025-06-01,PRD_076,259,5,5,0,0,250.2
2025-06-02,PRD_076,254,5,5,0,0,250.2
2025-06-03,PRD_076,313,8,8,0,67,250.2
2025-06-04,PRD_076,308,5,5,0,0,250.2
2025-06-05,PRD_076,306,2,2,0,0,250.2
2025-06-06,PRD_076,300,6,6,0,0,250.2
2025-06-07,PRD_076,293,7,7,0,0,250.2
2025-06-08,PRD_076,291,2,2,0,0,250.2
2025-06-09,PRD_076,283,8,8,0,0,250.2
2025-06-10,PRD_076,275,8,8,0,0,250.2
2025-06-11,PRD_076,268,7,7,0,0,250.2
2025-06-12,PRD_076,260,8,8,0,0,250.2
2025-06-13,PRD_076,256,4,4,0,0,250.2
2025-06-14,PRD_076,251,5,5,0,0,250.2
2025-06-15,PRD_076,311,7,7,0,67,250.2
2025-06-16,PRD_076,301,10,10,0,0,250.2
2025-06-17,PRD_076,296,5,5,0,0,250.2
2025-06-18,PRD_076,291,5,5,0,0,250.2
2025-06-19,PRD_076,284,7,7,0,0,250.2
2025-06-20,PRD_076,274,10,10,0,0,250.2
2025-06-21,PRD_076,274,0,0,0,0,250.2
2025-06-22,PRD_076,271,3,3,0,0,250.2
2025-06-23,PRD_076,266,5,5,0,0,250.2
2025-06-24,PRD_076,261,5,5,0,0,250.2
2025-06-25,PRD_076,256,5,5,0,0,250.2
2025-06-26,PRD_076,251,5,5,0,0,250.2
2025-06-27,PRD_076,312,6,6,0,67,250.2
2025-06-28,PRD_076,309,3,3,0,0,250.2
2025-06-29,PRD_076,305,4,4,0,0,250.2
2025-06-30,PRD_076,298,7,7,0,0,250.2
2025-07-01,PRD_076,292,6,6,0,0,250.2
2025-07-02,PRD_076,287,5,5,0,0,250.2
2025-07-03,PRD_076,281,6,6,0,0,250.2
2025-07-04,PRD_076,273,8,8,0,0,250.2
2025-07-05,PRD_076,262,11,11,0,0,250.2
2025-07-06,PRD_076,260,2,2,0,0,250.2
2025-07-07,PRD_076,253,7,7,0,0,250.2
2025-07-08,PRD_076,313,7,7,0,67,250.2
2025-07-09,PRD_076,306,7,7,0,0,250.2
2025-07-10,PRD_076,296,10,10,0,0,250.2
2025-07-11,PRD_076,293,3,3,0,0,250.2
2025-07-12,PRD_076,287,6,6,0,0,250.2
2025-07-13,PRD_076,282,5,5,0,0,250.2
2025-07-14,PRD_076,276,6,6,0,0,250.2
2025-07-15,PRD_076,270,6,6,0,0,250.2
2025-07-16,PRD_076,265,5,5,0,0,250.2
2025-07-17,PRD_076,260,5,5,0,0,250.2
2025-07-18,PRD_076,253,7,7,0,0,250.2
2025-07-19,PRD_076,311,9,9,0,67,250.2
2025-07-20,PRD_076,302,9,9,0,0,250.2
2025-07-21,PRD_076,292,10,10,0,0,250.2
2025-07-22,PRD_076,283,9,9,0,0,250.2
2025-07-23,PRD_076,277,6,6,0,0,250.2
2025-07-24,PRD_076,273,4,4,0,0,250.2
2025-07-25,PRD_076,261,12,12,0,0,250.2
2025-07-26,PRD_076,256,5,5,0,0,250.2
2025-07-27,PRD_076,315,8,8,0,67,250.2
2025-07-28,PRD_076,314,1,1,0,0,250.2
2025-07-29,PRD_076,310,4,4,0,0,250.2
2025-07-30,PRD_076,301,9,9,0,0,250.2
2025-07-31,PRD_076,292,9,9,0,0,250.2
2025-08-01,PRD_076,286,6,6,0,0,250.2
2025-08-02,PRD_076,285,1,1,0,0,250.2
2025-08-03,PRD_076,277,8,8,0,0,250.2
2025-08-04,PRD_076,276,1,1,0,0,250.2
2025-08-05,PRD_076,265,11,11,0,0,250.2
2025-08-06,PRD_076,258,7,7,0,0,250.2
2025-08-07,PRD_076,252,6,6,0,0,250.2
2025-08-08,PRD_076,310,9,9,0,67,250.2
2025-08-09,PRD_076,306,4,4,0,0,250.2
2025-08-10,PRD_076,302,4,4,0,0,250.2
2025-08-11,PRD_076,296,6,6,0,0,250.2
2025-08-12,PRD_076,290,6,6,0,0,250.2
2025-08-13,PRD_076,286,4,4,0,0,250.2
2025-08-14,PRD_076,282,4,4,0,0,250.2
2025-08-15,PRD_076,273,9,9,0,0,250.2
2025-08-16,PRD_076,267,6,6,0,0,250.2
2025-08-17,PRD_076,264,3,3,0,0,250.2
2025-08-18,PRD_076,257,7,7,0,0,250.2
2025-08-19,PRD_076,317,7,7,0,67,250.2
2025-08-20,PRD_076,314,3,3,0,0,250.2
2025-08-21,PRD_076,311,3,3,0,0,250.2
2025-08-22,PRD_076,309,2,2,0,0,250.2
2025-08-23,PRD_076,304,5,5,0,0,250.2
2025-08-24,PRD_076,298,6,6,0,0,250.2
2025-08-25,PRD_076,292,6,6,0,0,250.2
2025-08-26,PRD_076,285,7,7,0,0,250.2
2025-08-27,PRD_076,274,11,11,0,0,250.2
2025-08-28,PRD_076,267,7,7,0,0,250.2
2025-08-29,PRD_076,265,2,2,0,0,250.2
2025-08-30,PRD_076,258,7,7,0,0,250.2
2025-08-31,PRD_076,254,4,4,0,0,250.2
2025-09-01,PRD_076,310,11,11,0,67,250.2
2025-09-02,PRD_076,304,6,6,0,0,250.2
2025-09-03,PRD_076,300,4,4,0,0,250.2
2025-09-04,PRD_076,293,7,7,0,0,250.2
2025-09-05,PRD_076,288,5,5,0,0,250.2
2025-09-06,PRD_076,279,9,9,0,0,250.2
2025-09-07,PRD_076,279,0,0,0,0,250.2
2025-09-08,PRD_076,275,4,4,0,0,250.2
2025-09-09,PRD_076,271,4,4,0,0,250.2
2025-09-10,PRD_076,265,6,6,0,0,250.2
2025-09-11,PRD_076,256,9,9,0,0,250.2
2025-09-12,PRD_076,313,10,10,0,67,250.2
2025-09-13,PRD_076,309,4,4,0,0,250.2
2025-09-14,PRD_076,307,2,2,0,0,250.2
2025-09-15,PRD_076,300,7,7,0,0,250.2
2025-09-16,PRD_076,293,7,7,0,0,250.2
2025-09-17,PRD_076,283,10,10,0,0,250.2
2025-09-18,PRD_076,274,9,9,0,0,250.2
2025-09-19,PRD_076,267,7,7,0,0,250.2
2025-09-20,PRD_076,264,3,3,0,0,250.2
2025-09-21,PRD_076,254,10,10,0,0,250.2
2025-09-22,PRD_076,251,3,3,0,0,250.2
2025-09-23,PRD_076,313,5,5,0,67,250.2
2025-03-28,PRD_091,127,6,6,0,53,225.0
2025-03-29,PRD_091,173,7,7,0,53,225.0
2025-03-30,PRD_091,224,2,2,0,53,225.0
2025-03-31,PRD_091,271,6,6,0,53,225.0
2025-04-01,PRD_091,263,8,8,0,0,225.0
2025-04-02,PRD_091,259,4,4,0,0,225.0
2025-04-03,PRD_091,256,3,3,0,0,225.0
2025-04-04,PRD_091,247,9,9,0,0,225.0
2025-04-05,PRD_091,242,5,5,0,0,225.0
2025-04-06,PRD_091,233,9,9,0,0,225.0
2025-04-07,PRD_091,274,12,12,0,53,225.0
2025-04-08,PRD_091,269,5,5,0,0,225.0
2025-04-09,PRD_091,264,5,5,0,0,225.0
2025-04-10,PRD_091,262,2,2,0,0,225.0
2025-04-11,PRD_091,260,2,2,0,0,225.0
2025-04-12,PRD_091,251,9,9,0,0,225.0
2025-04-13,PRD_091,248,3,3,0,0,225.0
2025-04-14,PRD_091,243,5,5,0,0,225.0
2025-04-15,PRD_091,236,7,7,0,0,225.0
2025-04-16,PRD_091,235,1,1,0,0,225.0
2025-04-17,PRD_091,228,7,7,0,0,225.0
2025-04-18,PRD_091,276,5,5,0,53,225.0
2025-04-19,PRD_091,270,6,6,0,0,225.0
2025-04-20,PRD_091,264,6,6,0,0,225.0
2025-04-21,PRD_091,256,8,8,0,0,225.0
2025-04-22,PRD_091,248,8,8,0,0,225.0
2025-04-23,PRD_091,243,5,5,0,0,225.0
2025-04-24,PRD_091,235,8,8,0,0,225.0
2025-04-25,PRD_091,226,9,9,0,0,225.0
2025-04-26,PRD_091,272,7,7,0,53,225.0
2025-04-27,PRD_091,266,6,6,0,0,225.0
2025-04-28,PRD_091,258,8,8,0,0,225.0
2025-04-29,PRD_091,256,2,2,0,0,225.0
2025-04-30,PRD_091,253,3,3,0,0,225.0
2025-05-01,PRD_091,251,2,2,0,0,225.0
2025-05-02,PRD_091,247,4,4,0,0,225.0
2025-05-03,PRD_091,240,7,7,0,0,225.0
2025-05-04,PRD_091,231,9,9,0,0,225.0
2025-05-05,PRD_091,277,7,7,0,53,225.0
2025-05-06,PRD_091,270,7,7,0,0,225.0
2025-05-07,PRD_091,266,4,4,0,0,225.0
2025-05-08,PRD_091,264,2,2,0,0,225.0
2025-05-09,PRD_091,254,10,10,0,0,225.0
2025-05-10,PRD_091,250,4,4,0,0,225.0
2025-05-11,PRD_091,242,8,8,0,0,225.0
2025-05-12,PRD_091,237,5,5,0,0,225.0
2025-05-13,PRD_091,230,7,7,0,0,225.0
2025-05-14,PRD_091,276,7,7,0,53,225.0
2025-05-15,PRD_091,273,3,3,0,0,225.0
2025-05-16,PRD_091,269,4,4,0,0,225.0
2025-05-17,PRD_091,268,1,1,0,0,225.0
2025-05-18,PRD_091,265,3,3,0,0,225.0
2025-05-19,PRD_091,259,6,6,0,0,225.0
2025-05-20,PRD_091,255,4,4,0,0,225.0
2025-05-21,PRD_091,248,7,7,0,0,225.0
2025-05-22,PRD_091,248,0,0,0,0,225.0
2025-05-23,PRD_091,242,6,6,0,0,225.0
2025-05-24,PRD_091,236,6,6,0,0,225.0
2025-05-25,PRD_091,234,2,2,0,0,225.0
2025-05-26,PRD_091,230,4,4,0,0,225.0
2025-05-27,PRD_091,277,6,6,0,53,225.0
2025-05-28,PRD_091,264,13,13,0,0,225.0
2025-05-29,PRD_091,261,3,3,0,0,225.0
2025-05-30,PRD_091,252,9,9,0,0,225.0
2025-05-31,PRD_091,245,7,7,0,0,225.0
2025-06-01,PRD_091,238,7,7,0,0,225.0
2025-06-02,PRD_091,234,4,4,0,0,225.0
2025-06-03,PRD_091,226,8,8,0,0,225.0
2025-06-04,PRD_091,267,12,12,0,53,225.0
2025-06-05,PRD_091,262,5,5,0,0,225.0
2025-06-06,PRD_091,253,9,9,0,0,225.0
2025-06-07,PRD_091,246,7,7,0,0,225.0
2025-06-08,PRD_091,238,8,8,0,0,225.0
2025-06-09,PRD_091,234,4,4,0,0,225.0
2025-06-10,PRD_091,231,3,3,0,0,225.0
2025-06-11,PRD_091,278,6,6,0,53,225.0
2025-06-12,PRD_091,271,7,7,0,0,225.0
2025-06-13,PRD_091,267,4,4,0,0,225.0
2025-06-14,PRD_091,260,7,7,0,0,225.0
2025-06-15,PRD_091,256,4,4,0,0,225.0
2025-06-16,PRD_091,253,3,3,0,0,225.0
2025-06-17,PRD_091,249,4,4,0,0,225.0
2025-06-18,PRD_091,243,6,6,0,0,225.0
2025-06-19,PRD_091,237,6,6,0,0,225.0
2025-06-20,PRD_091,229,8,8,0,0,225.0
2025-06-21,PRD_091,275,7,7,0,53,225.0
2025-06-22,PRD_091,273,2,2,0,0,225.0
2025-06-23,PRD_091,267,6,6,0,0,225.0
2025-06-24,PRD_091,263,4,4,0,0,225.0
2025-06-25,PRD_091,261,2,2,0,0,225.0
2025-06-26,PRD_091,252,9,9,0,0,225.0
2025-06-27,PRD_091,247,5,5,0,0,225.0
2025-06-28,PRD_091,244,3,3,0,0,225.0
2025-06-29,PRD_091,242,2,2,0,0,225.0
2025-06-30,PRD_091,236,6,6,0,0,225.0
2025-07-01,PRD_091,232,4,4,0,0,225.0
2025-07-02,PRD_091,227,5,5,0,0,225.0
2025-07-03,PRD_091,275,5,5,0,53,225.0
2025-07-04,PRD_091,273,2,2,0,0,225.0
2025-07-05,PRD_091,266,7,7,0,0,225.0
2025-07-06,PRD_091,260,6,6,0,0,225.0
2025-07-07,PRD_091,255,5,5,0,0,225.0
2025-07-08,PRD_091,247,8,8,0,0,225.0
2025-07-09,PRD_091,244,3,3,0,0,225.0
2025-07-10,PRD_091,239,5,5,0,0,225.0
2025-07-11,PRD_091,234,5,5,0,0,225.0
2025-07-12,PRD_091,230,4,4,0,0,225.0
2025-07-13,PRD_091,227,3,3,0,0,225.0
2025-07-14,PRD_091,277,3,3,0,53,225.0
2025-07-15,PRD_091,272,5,5,0,0,225.0
2025-07-16,PRD_091,266,6,6,0,0,225.0
2025-07-17,PRD_091,259,7,7,0,0,225.0
2025-07-18,PRD_091,254,5,5,0,0,225.0
2025-07-19,PRD_091,249,5,5,0,0,225.0
2025-07-20,PRD_091,243,6,6,0,0,225.0
2025-07-21,PRD_091,236,7,7,0,0,225.0
2025-07-22,PRD_091,234,2,2,0,0,225.0
2025-07-23,PRD_091,229,5,5,0,0,225.0
2025-07-24,PRD_091,226,3,3,0,0,225.0
2025-07-25,PRD_091,278,1,1,0,53,225.0
2025-07-26,PRD_091,270,8,8,0,0,225.0
2025-07-27,PRD_091,269,1,1,0,0,225.0
2025-07-28,PRD_091,264,5,5,0,0,225.0
2025-07-29,PRD_091,261,3,3,0,0,225.0
2025-07-30,PRD_091,258,3,3,0,0,225.0
2025-07-31,PRD_091,255,3,3,0,0,225.0
2025-08-01,PRD_091,246,9,9,0,0,225.0
2025-08-02,PRD_091,240,6,6,0,0,225.0
2025-08-03,PRD_091,236,4,4,0,0,225.0
2025-08-04,PRD_091,230,6,6,0,0,225.0
2025-08-05,PRD_091,278,5,5,0,53,225.0
2025-08-06,PRD_091,277,1,1,0,0,225.0
2025-08-07,PRD_091,274,3,3,0,0,225.0
2025-08-08,PRD_091,270,4,4,0,0,225.0
2025-08-09,PRD_091,263,7,7,0,0,225.0
2025-08-10,PRD_091,258,5,5,0,0,225.0
2025-08-11,PRD_091,255,3,3,0,0,225.0
2025-08-12,PRD_091,250,5,5,0,0,225.0
2025-08-13,PRD_091,244,6,6,0,0,225.0
2025-08-14,PRD_091,241,3,3,0,0,225.0
2025-08-15,PRD_091,238,3,3,0,0,225.0
2025-08-16,PRD_091,238,0,0,0,0,225.0
2025-08-17,PRD_091,236,2,2,0,0,225.0
2025-08-18,PRD_091,229,7,7,0,0,225.0
2025-08-19,PRD_091,278,4,4,0,53,225.0
2025-08-20,PRD_091,275,3,3,0,0,225.0
2025-08-21,PRD_091,263,12,12,0,0,225.0
2025-08-22,PRD_091,262,1,1,0,0,225.0
2025-08-23,PRD_091,256,6,6,0,0,225.0
2025-08-24,PRD_091,245,11,11,0,0,225.0
2025-08-25,PRD_091,242,3,3,0,0,225.0
2025-08-26,PRD_091,237,5,5,0,0,225.0
2025-08-27,PRD_091,230,7,7,0,0,225.0
2025-08-28,PRD_091,227,3,3,0,0,225.0
2025-08-29,PRD_091,277,3,3,0,53,225.0
